size,iteration,naive,better,blas
25,0,0.000084,0.000083,0.000019
25,1,0.000084,0.000084,0.000014
25,2,0.000085,0.000084,0.000014
25,3,0.000085,0.000084,0.000014
25,4,0.000085,0.000083,0.000014
25,5,0.000087,0.000087,0.000015
25,6,0.000086,0.000086,0.000014
25,7,0.000085,0.000086,0.000014
25,8,0.000086,0.000084,0.000014
25,9,0.000087,0.000086,0.000015
50,0,0.000684,0.000670,0.000112
50,1,0.000725,0.000707,0.000111
50,2,0.000748,0.000687,0.000111
50,3,0.000711,0.000683,0.000108
50,4,0.000687,0.000686,0.000113
50,5,0.000694,0.000664,0.000117
50,6,0.000703,0.000669,0.000108
50,7,0.000696,0.000702,0.000117
50,8,0.001117,0.000663,0.000112
50,9,0.000673,0.000668,0.000109
75,0,0.002332,0.002345,0.000406
75,1,0.002396,0.002386,0.000408
75,2,0.002451,0.002384,0.000402
75,3,0.002406,0.002331,0.000392
75,4,0.002336,0.002342,0.000398
75,5,0.002343,0.002383,0.000398
75,6,0.002407,0.002398,0.000426
75,7,0.003299,0.002343,0.000395
75,8,0.002327,0.002376,0.000399
75,9,0.002349,0.002363,0.000405
100,0,0.005693,0.005512,0.000972
100,1,0.005609,0.005436,0.000975
100,2,0.005614,0.005471,0.000906
100,3,0.005677,0.005459,0.000949
100,4,0.005563,0.005489,0.000980
100,5,0.005696,0.005489,0.000970
100,6,0.005679,0.005470,0.000905
100,7,0.005675,0.005463,0.000918
100,8,0.005521,0.005518,0.000955
100,9,0.005589,0.005461,0.000962
125,0,0.011012,0.010621,0.001899
125,1,0.011441,0.010511,0.002077
125,2,0.011074,0.010674,0.001887
125,3,0.011410,0.010515,0.001885
125,4,0.011121,0.010611,0.001856
125,5,0.011103,0.010559,0.001801
125,6,0.011115,0.010648,0.001797
125,7,0.010987,0.010590,0.001800
125,8,0.011018,0.010566,0.001857
125,9,0.010880,0.010690,0.001731
150,0,0.018626,0.018215,0.003169
150,1,0.018673,0.018163,0.002955
150,2,0.018877,0.018119,0.003090
150,3,0.018466,0.018140,0.002960
150,4,0.018754,0.018232,0.003063
150,5,0.018440,0.018193,0.002955
150,6,0.018776,0.018100,0.002967
150,7,0.018712,0.018146,0.003028
150,8,0.018700,0.018158,0.002969
150,9,0.018408,0.018198,0.003081
175,0,0.029996,0.028637,0.004657
175,1,0.029887,0.028648,0.004666
175,2,0.030053,0.028726,0.004759
175,3,0.029789,0.028723,0.004685
175,4,0.029880,0.028984,0.004777
175,5,0.029870,0.028600,0.004734
175,6,0.030038,0.028620,0.004675
175,7,0.029918,0.028625,0.004723
175,8,0.030069,0.028618,0.004679
175,9,0.030054,0.028607,0.004680
200,0,0.046912,0.042478,0.006939
200,1,0.046927,0.042538,0.006998
200,2,0.046689,0.042463,0.006930
200,3,0.046843,0.042526,0.007155
200,4,0.047057,0.042598,0.006981
200,5,0.047306,0.042788,0.007016
200,6,0.046877,0.042682,0.006970
200,7,0.046929,0.042466,0.006959
200,8,0.046886,0.042575,0.006947
200,9,0.046755,0.042478,0.006934
225,0,0.067056,0.060317,0.009871
225,1,0.067063,0.060240,0.010074
225,2,0.067027,0.060336,0.009876
225,3,0.066891,0.060138,0.009850
225,4,0.066930,0.060201,0.009891
225,5,0.066714,0.060280,0.009873
225,6,0.066953,0.060215,0.009972
225,7,0.066758,0.060315,0.009889
225,8,0.066868,0.060468,0.009868
225,9,0.067081,0.060243,0.009968
250,0,0.091725,0.082590,0.013586
250,1,0.091814,0.082308,0.013532
250,2,0.091630,0.083236,0.013726
250,3,0.091938,0.082663,0.013573
250,4,0.092366,0.082872,0.013528
250,5,0.091823,0.082499,0.013486
250,6,0.091812,0.082408,0.013466
250,7,0.091678,0.082436,0.013497
250,8,0.091820,0.082474,0.013515
250,9,0.091928,0.082459,0.013574
275,0,0.129885,0.113709,0.019861
275,1,0.131546,0.112056,0.019137
275,2,0.126623,0.111260,0.018719
275,3,0.125444,0.109500,0.017927
275,4,0.122542,0.109885,0.018040
275,5,0.122942,0.109896,0.017973
275,6,0.122566,0.109611,0.017974
275,7,0.122582,0.109646,0.017900
275,8,0.122361,0.109980,0.018130
275,9,0.122512,0.109624,0.017893
300,0,0.159187,0.142509,0.023126
300,1,0.158837,0.141912,0.023382
300,2,0.158681,0.142077,0.023165
300,3,0.158673,0.142029,0.023147
300,4,0.159032,0.141995,0.023166
300,5,0.158832,0.142104,0.023242
300,6,0.158455,0.142103,0.023187
300,7,0.158663,0.142140,0.023145
300,8,0.158829,0.142125,0.023150
300,9,0.158493,0.142240,0.023234
325,0,0.202185,0.180932,0.029415
325,1,0.201969,0.180712,0.029357
325,2,0.201781,0.180837,0.029335
325,3,0.201969,0.180391,0.029384
325,4,0.201909,0.180591,0.029348
325,5,0.202192,0.180636,0.029475
325,6,0.201911,0.180892,0.029530
325,7,0.201957,0.181217,0.029542
325,8,0.201989,0.180926,0.029370
325,9,0.201787,0.180739,0.029608
350,0,0.252546,0.225615,0.036552
350,1,0.252660,0.225662,0.036590
350,2,0.252286,0.225426,0.036680
350,3,0.252854,0.226003,0.036907
350,4,0.253504,0.226018,0.036574
350,5,0.252901,0.225820,0.036681
350,6,0.252997,0.225793,0.036603
350,7,0.252673,0.225671,0.036772
350,8,0.256626,0.229001,0.037346
350,9,0.256543,0.229843,0.037275
375,0,0.319023,0.283182,0.045968
375,1,0.318518,0.282623,0.045853
375,2,0.317136,0.281424,0.045694
375,3,0.317291,0.281494,0.045627
375,4,0.317231,0.281810,0.045533
375,5,0.317152,0.281028,0.045818
375,6,0.317103,0.281565,0.045494
375,7,0.317146,0.281651,0.045851
375,8,0.318355,0.282072,0.045961
375,9,0.318823,0.282717,0.045847
400,0,0.420011,0.341706,0.056024
400,1,0.423033,0.342211,0.055339
400,2,0.421525,0.341376,0.055256
400,3,0.421822,0.341648,0.055607
400,4,0.416510,0.341303,0.055582
400,5,0.417866,0.341887,0.055634
400,6,0.420704,0.341912,0.055216
400,7,0.417033,0.341703,0.055276
400,8,0.418054,0.341883,0.055262
400,9,0.417746,0.341353,0.055383
425,0,0.470296,0.409994,0.066532
425,1,0.471052,0.409503,0.066202
425,2,0.470787,0.409649,0.066355
425,3,0.470628,0.409577,0.066193
425,4,0.470257,0.409433,0.066407
425,5,0.471090,0.409358,0.066078
425,6,0.470292,0.409184,0.066483
425,7,0.470277,0.409209,0.065924
425,8,0.470870,0.409101,0.066382
425,9,0.470505,0.409335,0.066018
450,0,0.572188,0.485536,0.078915
450,1,0.600215,0.490089,0.078372
450,2,0.573333,0.485977,0.078890
450,3,0.573465,0.486379,0.079031
450,4,0.573395,0.486227,0.079031
450,5,0.573075,0.486174,0.078896
450,6,0.573222,0.485558,0.078653
450,7,0.572905,0.485946,0.079034
450,8,0.573485,0.485278,0.078980
450,9,0.573628,0.485790,0.078433
475,0,0.681598,0.571437,0.092531
475,1,0.681790,0.571132,0.092710
475,2,0.681559,0.571790,0.092488
475,3,0.683500,0.572382,0.092806
475,4,0.701212,0.573125,0.092992
475,5,0.740576,0.578484,0.092766
475,6,0.683254,0.571459,0.092173
475,7,0.682778,0.571191,0.092364
475,8,0.681960,0.578899,0.096517
475,9,0.684899,0.571342,0.093028
500,0,0.818424,0.677452,0.121186
500,1,0.816540,0.666718,0.112069
500,2,0.814318,0.666802,0.108421
500,3,0.832790,0.675384,0.108806
500,4,0.820345,0.668092,0.116007
500,5,0.815575,0.667879,0.109244
500,6,0.814234,0.669280,0.124831
500,7,0.852028,0.675106,0.109458
500,8,0.813618,0.666828,0.108110
500,9,0.811986,0.674170,0.125105
