size,iteration,result
520000000,3,0.858423
520000000,4,0.866761
520000000,5,0.862558
520000000,6,0.876187
520000000,7,0.862938
520000000,8,0.867150
520000000,9,0.855798
540000000,0,0.904165
540000000,1,0.903864
540000000,2,0.894337
540000000,3,0.897218
540000000,4,0.891050
540000000,5,0.894257
540000000,6,0.900599
540000000,7,0.896404
540000000,8,0.897741
540000000,9,0.889706
560000000,0,0.934356
560000000,1,0.925037
560000000,2,0.921060
560000000,3,0.920575
560000000,4,0.915925
560000000,5,0.917447
560000000,6,0.924682
560000000,7,0.921879
560000000,8,0.919652
560000000,9,0.914845
580000000,0,0.951215
580000000,1,0.954820
580000000,2,0.952021
580000000,3,0.949852
580000000,4,0.956039
580000000,5,0.955839
580000000,6,0.956412
580000000,7,0.959550
580000000,8,0.957072
580000000,9,0.955073
600000000,0,0.987464
600000000,1,0.987346
600000000,2,0.985821
600000000,3,0.987420
600000000,4,1.008513
600000000,5,1.002871
600000000,6,0.996747
600000000,7,0.993764
600000000,8,1.005819
600000000,9,1.012601
620000000,0,1.041347
620000000,1,1.013495
620000000,2,1.009483
620000000,3,1.036391
620000000,4,1.021905
620000000,5,1.031156
620000000,6,1.019916
620000000,7,1.041582
620000000,8,1.036304
620000000,9,1.020943
640000000,0,1.044447
640000000,1,1.053011
640000000,2,1.044151
640000000,3,1.072363
640000000,4,1.056821
640000000,5,1.095045
640000000,6,1.074044
640000000,7,1.063076
640000000,8,1.065425
640000000,9,1.067080
660000000,0,1.084878
660000000,1,1.094701
660000000,2,1.107869
660000000,3,1.096661
660000000,4,1.091970
660000000,5,1.081159
660000000,6,1.110514
660000000,7,1.125006
660000000,8,1.077727
660000000,9,1.098004
680000000,0,1.139595
680000000,1,1.112276
680000000,2,1.110172
680000000,3,1.138686
680000000,4,1.123066
680000000,5,1.131160
680000000,6,1.108044
680000000,7,1.115797
680000000,8,1.134317
680000000,9,1.112522
700000000,0,1.140240
700000000,1,1.168239
700000000,2,1.147285
700000000,3,1.169630
700000000,4,1.148747
700000000,5,1.185198
700000000,6,1.194739
700000000,7,1.162240
700000000,8,1.144197
700000000,9,1.159926
720000000,0,1.191646
720000000,1,1.186622
720000000,2,1.212627
720000000,3,1.218479
720000000,4,1.221170
720000000,5,1.217939
720000000,6,1.207494
720000000,7,1.214144
720000000,8,1.196743
720000000,9,1.288711
740000000,0,1.232951
740000000,1,1.231419
740000000,2,1.226871
740000000,3,1.218271
740000000,4,1.209750
740000000,5,1.225002
740000000,6,1.238184
740000000,7,1.285070
740000000,8,1.247809
740000000,9,1.286862
760000000,0,1.249906
760000000,1,1.265810
760000000,2,1.282866
760000000,3,1.263646
760000000,4,1.298880
760000000,5,1.363256
760000000,6,1.247466
760000000,7,1.251721
760000000,8,1.242590
760000000,9,1.239888
780000000,0,1.274348
780000000,1,1.278611
780000000,2,1.348634
780000000,3,1.288912
780000000,4,1.304555
780000000,5,1.275780
780000000,6,1.286547
780000000,7,1.274017
780000000,8,1.280548
780000000,9,1.275125
800000000,0,1.306980
800000000,1,1.320916
800000000,2,1.308931
800000000,3,1.304056
800000000,4,1.309757
800000000,5,1.322325
800000000,6,1.313568
800000000,7,1.342787
800000000,8,1.325788
800000000,9,1.318249
820000000,0,1.350060
820000000,1,1.375027
820000000,2,1.343149
820000000,3,1.349060
820000000,4,1.365639
820000000,5,1.407689
820000000,6,1.373155
820000000,7,1.355490
820000000,8,1.372672
820000000,9,1.381580
840000000,0,1.449459
840000000,1,1.467863
840000000,2,1.375794
840000000,3,1.372026
840000000,4,1.373174
840000000,5,1.374801
840000000,6,1.372708
840000000,7,1.370948
840000000,8,1.383186
840000000,9,1.396441
860000000,0,1.423121
860000000,1,1.410866
860000000,2,1.408167
860000000,3,1.406209
860000000,4,1.409620
860000000,5,1.406410
860000000,6,1.404214
860000000,7,1.408533
860000000,8,1.406072
860000000,9,1.402084
880000000,0,1.440115
880000000,1,1.439033
880000000,2,1.434346
880000000,3,1.439577
880000000,4,1.438742
880000000,5,1.456985
880000000,6,1.444151
880000000,7,1.440375
880000000,8,1.436705
880000000,9,1.455061
900000000,0,1.509086
900000000,1,1.472316
900000000,2,1.467054
900000000,3,1.476769
900000000,4,1.476038
900000000,5,1.517182
900000000,6,1.495860
900000000,7,1.507766
900000000,8,1.487573
900000000,9,1.485183
920000000,0,1.503794
920000000,1,1.532586
920000000,2,1.528858
920000000,3,1.512303
920000000,4,1.538228
920000000,5,1.522938
920000000,6,1.534078
920000000,7,1.532052
920000000,8,1.523133
920000000,9,1.500918
940000000,0,1.574280
940000000,1,1.531134
940000000,2,1.531587
940000000,3,1.539680
940000000,4,1.535358
940000000,5,1.564084
940000000,6,1.593917
940000000,7,1.586071
940000000,8,1.534174
940000000,9,1.542258
960000000,0,1.570775
960000000,1,1.569693
960000000,2,1.588177
960000000,3,1.622213
960000000,4,1.588474
960000000,5,1.618281
960000000,6,1.575034
960000000,7,1.588300
960000000,8,1.591808
960000000,9,1.589432
980000000,0,1.616319
980000000,1,1.623015
980000000,2,1.622745
980000000,3,1.624287
980000000,4,1.634734
