size,iteration,naive,better,blas
375,6,0.085075,0.026355,0.045096
375,7,0.084223,0.027160,0.045336
375,8,0.085084,0.026303,0.045400
375,9,0.084862,0.027104,0.045098
400,0,0.103873,0.029328,0.054719
400,1,0.103932,0.029355,0.054960
400,2,0.103460,0.029036,0.055838
400,3,0.103221,0.028984,0.055194
400,4,0.103065,0.029113,0.054865
400,5,0.102905,0.028976,0.054855
400,6,0.103122,0.029033,0.055008
400,7,0.103265,0.028992,0.054508
400,8,0.103336,0.029164,0.054631
400,9,0.102752,0.029301,0.054524
425,0,0.122932,0.038255,0.065411
425,1,0.122757,0.038054,0.065664
425,2,0.122512,0.038311,0.065442
425,3,0.122866,0.038503,0.065242
425,4,0.122602,0.038072,0.065467
425,5,0.122620,0.038136,0.065561
425,6,0.122662,0.038477,0.065143
425,7,0.124626,0.039238,0.068285
425,8,0.125597,0.039295,0.068213
425,9,0.126417,0.038851,0.065685
450,0,0.147335,0.040996,0.077744
450,1,0.147159,0.041568,0.078458
450,2,0.146353,0.041470,0.077624
450,3,0.147034,0.041386,0.077614
450,4,0.146451,0.041023,0.078558
450,5,0.152193,0.045194,0.081533
450,6,0.160919,0.048524,0.086112
450,7,0.151353,0.043165,0.079429
450,8,0.147675,0.041725,0.077603
450,9,0.146533,0.041159,0.078989
475,0,0.173737,0.053284,0.092627
475,1,0.172752,0.053451,0.091317
475,2,0.172205,0.053492,0.092482
475,3,0.174033,0.053575,0.091362
475,4,0.173268,0.053319,0.091315
475,5,0.173233,0.054045,0.092297
475,6,0.172981,0.053581,0.090979
475,7,0.172267,0.053459,0.091070
475,8,0.172599,0.053045,0.091030
475,9,0.172695,0.053079,0.091384
500,0,0.202082,0.057172,0.106554
500,1,0.202087,0.056795,0.106576
500,2,0.204644,0.058403,0.107012
500,3,0.202434,0.056608,0.106665
500,4,0.202296,0.056779,0.106426
500,5,0.201977,0.056593,0.106406
500,6,0.202030,0.056209,0.106296
500,7,0.202190,0.058216,0.106362
500,8,0.201740,0.056666,0.106271
500,9,0.201581,0.056064,0.106232
