size,iteration,naive,better,blas
375,6,0.369440,0.327890,0.050537
375,7,0.330477,0.323999,0.053109
375,8,0.363830,0.320497,0.051996
375,9,0.362446,0.320961,0.052080
400,0,0.476504,0.389753,0.063473
400,1,0.475151,0.389395,0.063822
400,2,0.475468,0.388408,0.063553
400,3,0.474610,0.390450,0.063596
400,4,0.478548,0.388665,0.064287
400,5,0.478101,0.378520,0.054952
400,6,0.458235,0.378934,0.067330
400,7,0.515260,0.397015,0.065924
400,8,0.481998,0.378303,0.074143
400,9,0.487533,0.388723,0.063333
425,0,0.538952,0.466581,0.075235
425,1,0.539054,0.466741,0.075323
425,2,0.539865,0.466534,0.075563
425,3,0.539028,0.466429,0.077261
425,4,0.539054,0.466912,0.075337
425,5,0.538585,0.467304,0.075616
425,6,0.539915,0.467030,0.075291
425,7,0.515358,0.467538,0.075439
425,8,0.541508,0.467634,0.077758
425,9,0.541765,0.467569,0.075588
450,0,0.657275,0.554467,0.089475
450,1,0.657541,0.555490,0.090558
450,2,0.641579,0.559674,0.112220
450,3,0.596819,0.543292,0.090436
450,4,0.611828,0.534162,0.099639
450,5,0.671110,0.553032,0.090175
450,6,0.652018,0.490646,0.083648
450,7,0.569670,0.501718,0.080629
450,8,0.596474,0.551465,0.090761
450,9,0.639525,0.545888,0.091441
475,0,0.796240,0.570003,0.095574
475,1,0.693244,0.571909,0.098080
475,2,0.699323,0.659229,0.111624
475,3,0.799460,0.653569,0.111287
475,4,0.724516,0.571780,0.099329
475,5,0.825989,0.655136,0.109907
475,6,0.825507,0.664394,0.113561
475,7,0.807704,0.655303,0.126116
475,8,0.788070,0.637575,0.126455
475,9,0.769842,0.660066,0.116061
500,0,0.965158,0.746774,0.142550
500,1,0.960460,0.770306,0.133228
500,2,0.925107,0.750969,0.110009
500,3,0.942995,0.748732,0.162754
500,4,0.956302,0.771386,0.141331
500,5,0.932964,0.710914,0.137645
500,6,0.873177,0.707296,0.131541
500,7,0.946630,0.773492,0.147086
500,8,0.991256,0.725250,0.128454
500,9,0.871697,0.708166,0.129245
